TransactionKey,TransactionID,DateKey,SenderAccountKey,ReceiverAccountKey,ChannelKey,CountryKey,Amount,SenderBalanceBefore,SenderBalanceAfter,IsSuspicious,SuspiciousRuleCode
97,TX0000097,2025-05-17,30,145,1,1,4573.71,12108.28,7534.57,0,
98,TX0000098,2025-10-19,16,45,2,2,15873.31,45666.01,29792.7,0,
99,TX0000099,2025-05-20,32,124,3,3,13804.69,48821.4,35016.71,0,
100,TX0000100,2025-08-10,131,116,3,2,1700.79,3789.84,2089.05,0,
101,TX0000101,2025-10-22,67,7,3,1,1917.41,50016.77,48099.36,0,
102,TX0000102,2025-09-23,72,11,3,2,15285.87,24127.89,8842.02,0,
103,TX0000103,2025-09-09,75,49,1,2,19939.21,41789.87,21850.66,0,
104,TX0000104,2025-03-24,93,108,2,2,6732.84,40272.5,33539.66,0,
105,TX0000105,2025-10-09,131,77,1,2,13285.41,33367.98,20082.57,0,
106,TX0000106,2025-07-26,23,84,3,1,5122.74,11007.23,5884.49,0,
107,TX0000107,2025-07-05,144,123,3,2,8323.63,17784.0,9460.37,0,
108,TX0000108,2025-05-28,117,14,2,3,4150.81,31656.87,27506.06,0,
109,TX0000109,2025-05-03,129,32,3,1,674.5,32212.61,31538.11,0,
110,TX0000110,2025-04-26,83,147,1,2,372.12,20830.86,20458.74,0,
111,TX0000111,2025-09-18,31,41,3,2,10017.67,45876.18,35858.51,0,
112,TX0000112,2025-10-10,110,128,1,2,19606.87,31869.04,12262.17,0,
113,TX0000113,2025-02-05,51,135,2,2,14951.22,21862.99,6911.77,0,
114,TX0000114,2025-06-02,91,134,3,3,5416.74,5644.75,228.01,0,
115,TX0000115,2025-06-20,130,40,3,3,8986.29,33254.93,24268.64,0,
116,TX0000116,2025-12-24,100,120,1,3,18663.76,62156.88,43493.12,0,
117,TX0000117,2025-06-12,102,62,3,2,17134.66,37732.34,20597.68,0,
118,TX0000118,2025-11-30,101,102,1,2,19769.44,59409.88,39640.44,0,
119,TX0000119,2025-02-21,10,34,2,1,10095.59,39645.59,29550.0,0,
120,TX0000120,2025-12-02,139,120,1,1,405.42,7698.78,7293.36,0,
121,TX0000121,2025-11-29,125,71,1,2,6837.37,41503.33,34665.96,0,
122,TX0000122,2025-09-07,142,101,3,1,19087.38,50464.66,31377.28,0,
123,TX0000123,2025-04-27,18,63,3,1,12660.1,58714.46,46054.36,0,
124,TX0000124,2025-02-21,115,26,2,1,15231.36,50455.51,35224.15,0,
125,TX0000125,2025-05-31,80,8,2,2,1015.22,40842.78,39827.56,0,
126,TX0000126,2025-12-16,114,39,1,1,4959.53,25620.91,20661.38,0,
127,TX0000127,2025-12-16,47,21,1,2,12228.89,31417.85,19188.96,0,
128,TX0000128,2025-05-11,38,62,3,1,9276.88,22050.35,12773.47,0,
129,TX0000129,2025-08-15,124,77,2,3,13584.46,21567.44,7982.98,0,
130,TX0000130,2025-06-04,80,112,1,2,13837.24,36733.35,22896.11,0,
131,TX0000131,2025-10-22,128,28,2,3,4820.39,33459.33,28638.94,0,
132,TX0000132,2025-05-21,79,6,1,3,19561.1,52506.77,32945.67,0,
133,TX0000133,2025-04-28,13,132,3,2,16673.49,61829.94,45156.45,0,
134,TX0000134,2025-12-04,59,51,3,1,12455.73,46376.18,33920.45,0,
135,TX0000135,2025-10-24,25,11,2,3,6247.76,28344.84,22097.08,0,
136,TX0000136,2025-08-01,35,24,1,1,18201.59,34604.87,16403.28,0,
137,TX0000137,2025-09-14,35,144,2,1,17541.57,35897.86,18356.29,0,
138,TX0000138,2025-06-23,69,128,1,2,19350.94,34178.5,14827.56,0,
139,TX0000139,2025-12-13,20,38,3,3,15107.61,26465.78,11358.17,0,
140,TX0000140,2025-01-08,105,148,2,3,7378.92,46933.95,39555.03,0,
141,TX0000141,2025-05-15,32,120,3,2,7434.85,44910.53,37475.68,0,
142,TX0000142,2025-11-14,99,28,3,2,13529.25,37155.95,23626.7,0,
143,TX0000143,2025-12-25,59,17,2,3,12744.54,36011.49,23266.95,0,
144,TX0000144,2025-06-05,108,30,2,1,2881.56,50200.01,47318.45,0,
145,TX0000145,2025-08-21,25,63,2,3,17756.46,24626.1,6869.64,0,
146,TX0000146,2025-08-01,144,111,3,1,11788.07,48145.37,36357.3,0,
147,TX0000147,2025-12-20,130,108,2,1,18787.16,32846.19,14059.03,0,
148,TX0000148,2025-12-18,117,63,2,3,17123.46,22181.26,5057.8,0,
149,TX0000149,2025-03-04,95,16,2,1,8022.98,17594.43,9571.45,0,
150,TX0000150,2025-03-06,57,6,3,1,1106.51,17848.62,16742.11,0,
151,TX0000151,2025-04-30,18,147,2,1,4222.43,15098.4,10875.97,0,
152,TX0000152,2025-03-08,1,74,3,2,17182.28,24502.21,7319.93,0,
153,TX0000153,2025-01-08,47,29,2,1,13255.05,14641.48,1386.43,0,
154,TX0000154,2025-08-04,86,5,3,1,3567.5,6282.21,2714.71,0,
155,TX0000155,2025-10-31,17,126,1,2,9020.68,27186.42,18165.74,0,
156,TX0000156,2025-12-04,133,59,3,2,18913.77,21177.69,2263.92,0,
157,TX0000157,2025-07-25,121,8,2,3,1310.43,25311.63,24001.2,0,
158,TX0000158,2025-02-11,28,130,2,3,14276.79,36510.55,22233.76,0,
159,TX0000159,2025-10-27,39,17,3,3,2611.21,33864.65,31253.44,0,
160,TX0000160,2025-08-21,87,101,3,3,19893.09,46467.88,26574.79,0,
161,TX0000161,2025-12-02,114,26,3,3,15882.61,21691.87,5809.26,0,
162,TX0000162,2025-06-23,58,114,2,2,9085.94,20587.77,11501.83,0,
163,TX0000163,2025-05-11,110,25,2,1,6319.71,22014.64,15694.93,0,
164,TX0000164,2025-08-10,126,18,1,3,1915.37,6275.05,4359.68,0,
165,TX0000165,2025-10-15,99,35,3,2,11171.78,40536.39,29364.61,0,
166,TX0000166,2025-08-05,32,109,3,1,7136.6,40437.09,33300.49,0,
167,TX0000167,2025-04-19,77,83,1,3,7097.76,36035.89,28938.13,0,
168,TX0000168,2025-10-12,128,60,2,1,16960.77,34531.46,17570.69,0,
169,TX0000169,2025-11-15,75,60,3,3,16163.71,58436.95,42273.24,0,
170,TX0000170,2025-12-22,148,7,2,1,12219.0,45144.78,32925.78,0,
171,TX0000171,2025-06-23,49,73,2,1,14083.71,29602.05,15518.34,0,
172,TX0000172,2025-03-14,49,38,3,3,11369.79,31468.93,20099.14,0,
173,TX0000173,2025-08-03,8,24,2,2,14947.62,25782.75,10835.13,0,
174,TX0000174,2025-10-18,42,98,3,1,6301.58,22588.29,16286.71,0,
175,TX0000175,2025-12-12,14,41,1,2,3232.46,34162.59,30930.13,0,
176,TX0000176,2025-05-20,117,112,1,3,9764.67,31922.67,22158.0,0,
177,TX0000177,2025-12-14,30,92,3,2,8655.28,22889.28,14234.0,0,
178,TX0000178,2025-11-03,139,82,1,1,1003.81,20827.45,19823.64,0,
179,TX0000179,2025-05-11,55,81,2,2,18911.95,57302.69,38390.74,0,
180,TX0000180,2025-03-08,31,2,2,3,9997.97,31587.66,21589.69,0,
181,TX0000181,2025-07-01,61,133,1,2,11218.6,44654.2,33435.6,0,
182,TX0000182,2025-06-10,11,115,3,2,472.96,46538.97,46066.01,0,
183,TX0000183,2025-06-16,107,110,1,3,5861.35,26172.46,20311.11,0,
184,TX0000184,2025-05-05,121,96,2,3,1853.78,44093.55,42239.77,0,
185,TX0000185,2025-06-23,106,139,1,2,1665.08,45204.25,43539.17,0,
186,TX0000186,2025-09-19,46,20,1,2,10258.62,16048.55,5789.93,0,
187,TX0000187,2025-04-12,93,39,1,3,4801.75,12209.32,7407.57,0,
188,TX0000188,2025-09-10,41,20,2,3,3625.21,42290.33,38665.12,0,
189,TX0000189,2025-06-15,118,150,3,2,12895.54,62223.48,49327.94,0,
190,TX0000190,2025-06-05,40,116,2,3,1458.9,23625.08,22166.18,0,
191,TX0000191,2025-08-20,15,94,1,1,10196.0,25785.35,15589.35,0,
192,TX0000192,2025-02-16,98,77,3,3,1626.95,44853.03,43226.08,0,
193,TX0000193,2025-01-22,134,102,2,3,9307.96,37068.35,27760.39,0,
194,TX0000194,2025-02-01,51,86,2,1,12139.62,37257.85,25118.23,0,
195,TX0000195,2025-05-07,91,22,3,2,10140.53,18851.22,8710.69,0,
196,TX0000196,2025-07-10,116,139,2,2,10502.69,18524.13,8021.44,0,
197,TX0000197,2025-11-20,108,90,3,2,13610.06,16323.1,2713.04,0,
198,TX0000198,2025-05-26,17,88,2,3,1980.67,35931.8,33951.13,0,
199,TX0000199,2025-06-29,40,89,2,3,1721.89,34936.13,33214.24,0,
200,TX0000200,2025-06-08,104,35,3,2,11941.32,58847.63,46906.31,0,
201,TX0000201,2025-12-17,88,34,3,1,13435.32,54900.37,41465.05,0,
202,TX0000202,2025-04-03,112,135,1,2,7300.38,25494.0,18193.62,0,
203,TX0000203,2025-02-09,129,52,2,1,4608.21,11572.72,6964.51,0,
204,TX0000204,2025-01-20,134,144,3,2,16718.88,60914.62,44195.74,0,
205,TX0000205,2025-12-21,35,100,3,1,3169.63,12293.84,9124.21,0,
206,TX0000206,2025-05-02,116,12,2,3,8276.09,42126.6,33850.51,0,
207,TX0000207,2025-08-29,76,118,1,2,4756.66,16791.17,12034.51,0,
208,TX0000208,2025-09-15,116,123,3,2,15411.83,54340.22,38928.39,0,
209,TX0000209,2025-05-09,44,54,1,3,16045.06,23051.15,7006.09,0,
210,TX0000210,2025-09-22,128,99,1,2,11135.36,16354.59,5219.23,0,
211,TX0000211,2025-03-17,22,44,2,1,5528.55,50803.33,45274.78,0,
212,TX0000212,2025-08-01,59,119,1,2,17704.13,64234.68,46530.55,0,
213,TX0000213,2025-07-11,133,99,1,1,4791.98,54518.8,49726.82,0,
214,TX0000214,2025-03-16,85,26,1,1,16799.61,49332.65,32533.04,0,
215,TX0000215,2025-12-28,77,125,2,2,13951.83,20977.59,7025.76,0,
216,TX0000216,2025-03-18,2,21,3,3,478.18,11339.35,10861.17,0,
217,TX0000217,2025-06-04,140,112,1,1,2312.62,16788.89,14476.27,0,
218,TX0000218,2025-02-02,64,111,1,2,12815.14,43993.39,31178.25,0,
219,TX0000219,2025-03-15,143,5,2,2,12675.9,41470.77,28794.87,0,
220,TX0000220,2025-12-07,1,94,3,1,4887.23,25773.95,20886.72,0,
221,TX0000221,2025-09-17,139,96,3,3,1446.82,27797.19,26350.37,0,
222,TX0000222,2025-07-18,6,103,2,2,17479.3,19751.67,2272.37,0,
223,TX0000223,2025-12-03,5,95,3,1,15791.55,33097.19,17305.64,0,
224,TX0000224,2025-11-26,89,36,1,3,982.28,28328.37,27346.09,0,
225,TX0000225,2025-02-02,123,127,3,2,12671.54,53265.27,40593.73,0,
226,TX0000226,2025-01-22,10,79,2,2,4111.66,43688.01,39576.35,0,
227,TX0000227,2025-05-10,136,105,1,3,19783.54,46980.77,27197.23,0,
228,TX0000228,2025-12-02,51,77,2,2,7203.79,46267.78,39063.99,0,
229,TX0000229,2025-08-14,32,98,2,2,8795.33,28856.42,20061.09,0,
230,TX0000230,2025-09-23,50,132,2,1,13872.16,32302.77,18430.61,0,
231,TX0000231,2025-04-03,112,21,3,2,8669.08,58424.48,49755.4,0,
232,TX0000232,2025-06-06,86,27,2,3,1693.37,34773.24,33079.87,0,
233,TX0000233,2025-01-22,113,45,3,2,13826.32,31468.51,17642.19,0,
234,TX0000234,2025-01-30,115,74,1,3,12825.44,52420.18,39594.74,0,
235,TX0000235,2025-03-23,107,97,1,1,10310.41,47830.32,37519.91,0,
236,TX0000236,2025-11-27,116,9,2,2,2611.98,14488.15,11876.17,0,
237,TX0000237,2025-07-09,102,9,2,2,12141.39,46126.59,33985.2,0,
238,TX0000238,2025-11-29,20,37,2,1,10636.25,30598.15,19961.9,0,
239,TX0000239,2025-07-18,30,7,3,1,14739.93,39742.22,25002.29,0,
240,TX0000240,2025-11-10,71,70,2,3,14110.35,24917.41,10807.06,0,
241,TX0000241,2025-08-20,130,54,1,3,2540.48,45196.51,42656.03,0,
242,TX0000242,2025-06-13,117,23,3,2,16229.21,64610.52,48381.31,0,
243,TX0000243,2025-03-22,17,146,3,3,10889.21,55466.66,44577.45,0,
244,TX0000244,2025-04-13,47,96,1,1,10224.24,16380.23,6155.99,0,
245,TX0000245,2025-08-28,131,7,3,1,7281.84,35938.48,28656.64,0,
246,TX0000246,2025-09-03,23,17,3,2,6254.89,56234.68,49979.79,0,
247,TX0000247,2025-02-07,108,19,2,2,2594.0,18513.68,15919.68,0,
248,TX0000248,2025-10-10,137,92,3,3,2653.86,44123.64,41469.78,0,
249,TX0000249,2025-01-29,49,35,1,3,8709.1,54253.64,45544.54,0,
250,TX0000250,2025-12-30,41,81,1,2,3376.68,19577.45,16200.77,0,
251,TX0000251,2025-11-22,137,76,3,2,16934.08,29539.28,12605.2,0,
252,TX0000252,2025-11-25,34,81,1,3,12327.12,17089.2,4762.08,0,
253,TX0000253,2025-11-06,41,46,2,3,13208.78,49268.36,36059.58,0,
254,TX0000254,2025-10-23,11,8,2,3,1716.33,49148.82,47432.49,0,
255,TX0000255,2025-11-18,56,110,3,2,12400.36,14011.63,1611.27,0,
256,TX0000256,2025-07-27,81,128,2,2,4973.07,45359.8,40386.73,0,
257,TX0000257,2025-08-26,19,16,1,2,3245.8,24085.33,20839.53,0,
258,TX0000258,2025-06-26,38,84,2,1,17243.55,33277.44,16033.89,0,
259,TX0000259,2025-08-27,98,136,1,2,11276.86,27300.74,16023.88,0,
260,TX0000260,2025-07-16,119,66,3,2,2903.46,5528.66,2625.2,0,
261,TX0000261,2025-06-10,66,42,1,1,16288.21,62982.41,46694.2,0,
262,TX0000262,2025-09-12,132,136,1,1,9389.62,53355.5,43965.88,0,
263,TX0000263,2025-10-26,104,134,2,1,9198.89,21311.25,12112.36,0,
264,TX0000264,2025-12-01,13,76,3,2,9948.39,54077.13,44128.74,0,
265,TX0000265,2025-03-10,77,143,2,3,262.73,5726.83,5464.1,0,
266,TX0000266,2025-10-19,97,107,3,1,7382.15,27471.17,20089.02,0,
267,TX0000267,2025-08-19,96,147,3,2,5843.17,25221.98,19378.81,0,
268,TX0000268,2025-06-23,31,34,3,2,19504.15,39259.95,19755.8,0,
269,TX0000269,2025-01-21,38,53,1,1,12089.01,32218.23,20129.22,0,
270,TX0000270,2025-03-18,37,89,3,3,16098.92,42113.62,26014.7,0,
271,TX0000271,2025-07-21,37,87,3,3,18634.24,34628.89,15994.65,0,
272,TX0000272,2025-09-08,80,90,3,3,10195.57,35730.3,25534.73,0,
273,TX0000273,2025-12-11,80,126,1,2,16333.4,34814.45,18481.05,0,
274,TX0000274,2025-12-02,82,7,3,3,11978.5,25328.47,13349.97,0,
275,TX0000275,2025-11-19,61,14,3,3,11712.11,20320.66,8608.55,0,
276,TX0000276,2025-10-21,101,39,3,1,16451.06,28636.67,12185.61,0,
277,TX0000277,2025-07-31,51,5,3,1,8876.67,29873.81,20997.14,0,
278,TX0000278,2025-02-01,109,133,3,1,15521.95,61555.95,46034.0,0,
279,TX0000279,2025-09-02,137,56,3,2,11261.65,61167.98,49906.33,0,
280,TX0000280,2025-10-07,84,47,2,3,9247.3,35950.34,26703.04,0,
281,TX0000281,2025-10-13,71,128,2,1,3926.06,16327.36,12401.3,0,
282,TX0000282,2025-09-08,80,77,2,2,14127.53,48670.5,34542.97,0,
283,TX0000283,2025-05-21,93,149,2,1,18680.64,58471.37,39790.73,0,
284,TX0000284,2025-06-26,145,101,1,2,17925.63,37712.8,19787.17,0,
285,TX0000285,2025-08-15,11,77,3,2,19110.74,23154.31,4043.57,0,
286,TX0000286,2025-10-15,127,57,3,2,4121.15,31096.19,26975.04,0,
287,TX0000287,2025-05-05,37,28,1,3,12351.97,41734.81,29382.84,0,
288,TX0000288,2025-07-31,140,60,2,3,12795.1,15514.41,2719.31,0,
289,TX0000289,2025-10-09,125,26,1,2,13655.72,20615.33,6959.61,0,
290,TX0000290,2025-05-28,126,127,2,2,13045.72,50865.68,37819.96,0,
291,TX0000291,2025-01-20,16,23,1,2,13080.74,24768.53,11687.79,0,
292,TX0000292,2025-09-11,48,10,1,3,19943.72,39853.75,19910.03,0,
293,TX0000293,2025-02-24,78,10,2,2,284.42,28725.72,28441.3,0,
294,TX0000294,2025-03-10,120,145,3,2,10533.94,55008.01,44474.07,0,
295,TX0000295,2025-08-23,73,52,3,2,16195.4,32796.54,16601.14,0,
296,TX0000296,2025-10-18,50,4,3,1,14758.7,54318.01,39559.31,0,
297,TX0000297,2025-02-14,47,107,2,3,16557.1,42369.6,25812.5,0,
298,TX0000298,2025-05-08,25,50,1,2,19635.54,43560.5,23924.96,0,
299,TX0000299,2025-06-18,102,63,2,3,8990.04,22413.06,13423.02,0,
300,TX0000300,2025-02-01,3,70,3,1,13108.3,47777.45,34669.15,0,
301,TX0000301,2025-12-27,124,82,2,3,3278.36,37613.43,34335.07,0,
302,TX0000302,2025-03-10,31,79,2,1,7414.12,18534.5,11120.38,0,
303,TX0000303,2025-08-30,120,99,3,3,8375.33,35882.13,27506.8,0,
304,TX0000304,2025-02-11,58,66,3,2,13638.8,43469.94,29831.14,0,
305,TX0000305,2025-02-01,140,96,3,3,1654.24,29906.26,28252.02,0,
306,TX0000306,2025-09-24,54,143,2,1,3082.06,19555.13,16473.07,0,
307,TX0000307,2025-01-29,55,130,2,1,1909.74,27477.47,25567.73,0,
308,TX0000308,2025-08-25,136,110,3,2,9190.29,12171.36,2981.07,0,
309,TX0000309,2025-04-22,6,105,3,1,5163.7,5414.17,250.47,0,
310,TX0000310,2025-01-31,12,112,1,2,6956.12,10237.74,3281.62,0,
311,TX0000311,2025-11-25,9,77,3,3,8236.45,46708.16,38471.71,0,
312,TX0000312,2025-07-13,111,99,2,1,19857.85,39043.58,19185.73,0,
313,TX0000313,2025-04-02,144,36,3,2,13105.33,30559.05,17453.72,0,
314,TX0000314,2025-01-02,140,34,1,2,14584.38,25796.62,11212.24,0,
315,TX0000315,2025-04-28,123,145,1,2,8540.15,27566.05,19025.9,0,
316,TX0000316,2025-02-27,92,41,1,3,5585.43,52462.21,46876.78,0,
317,TX0000317,2025-11-01,111,5,1,2,4889.26,8347.08,3457.82,0,
318,TX0000318,2025-04-30,13,65,3,1,14836.77,35009.81,20173.04,0,
319,TX0000319,2025-10-22,15,37,2,3,10127.53,24661.78,14534.25,0,
320,TX0000320,2025-12-05,86,63,3,1,6105.11,13353.81,7248.7,0,
321,TX0000321,2025-10-30,109,80,3,1,5575.56,33455.79,27880.23,0,
322,TX0000322,2025-11-26,113,148,3,2,9962.85,58580.13,48617.28,0,
323,TX0000323,2025-06-03,139,85,2,1,13956.54,34428.67,20472.13,0,
324,TX0000324,2025-12-29,143,126,1,2,4895.27,16239.96,11344.69,0,
325,TX0000325,2025-09-29,15,149,1,2,8312.28,29196.02,20883.74,0,
326,TX0000326,2025-08-19,65,69,2,1,4146.4,36517.02,32370.62,0,
327,TX0000327,2025-11-06,143,51,3,1,1125.58,20046.26,18920.68,0,
328,TX0000328,2025-12-10,19,51,3,1,16112.55,45532.98,29420.43,0,
329,TX0000329,2025-01-08,127,56,1,1,17402.53,34117.45,16714.92,0,
330,TX0000330,2025-12-27,31,127,1,2,18297.38,53109.13,34811.75,0,
331,TX0000331,2025-08-27,64,147,3,3,6500.14,20724.79,14224.65,0,
332,TX0000332,2025-09-12,95,82,2,1,5305.08,30994.63,25689.55,0,
333,TX0000333,2025-07-31,125,85,1,3,18295.18,36893.36,18598.18,0,
334,TX0000334,2025-10-27,59,39,3,3,422.78,28133.03,27710.25,0,
335,TX0000335,2025-07-14,110,79,3,1,3132.99,19693.27,16560.28,0,
336,TX0000336,2025-05-12,132,146,2,3,13126.7,47400.55,34273.85,0,
337,TX0000337,2025-03-28,130,121,1,3,3447.85,43217.13,39769.28,0,
